Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 02 10:57:07:994,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:07:996,-3.9985,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:07:998,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:000,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","23,4375"
2026 02 02 10:57:08:002,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","15,625"
2026 02 02 10:57:08:004,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:006,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-7,8125"
2026 02 02 10:57:08:008,-3.9675,-6.87625,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:010,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:012,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:014,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:016,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:018,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:020,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","23,4375"
2026 02 02 10:57:08:022,-3.9334,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","15,625"
2026 02 02 10:57:08:024,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:026,-3.9985,-6.87625,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-11,7187"
2026 02 02 10:57:08:028,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:030,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:032,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:034,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:036,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:038,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:040,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","27,3438"
2026 02 02 10:57:08:042,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","19,5313"
2026 02 02 10:57:08:044,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:046,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-7,8125"
2026 02 02 10:57:08:048,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:050,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118",0
2026 02 02 10:57:08:052,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:054,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:056,-3.9334,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:058,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:060,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","27,3438"
2026 02 02 10:57:08:062,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","23,4375"
2026 02 02 10:57:08:064,-3.9334,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:066,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-7,8125"
2026 02 02 10:57:08:068,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:070,-3.9985,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:072,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:074,-3.9675,-6.61375,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:076,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:078,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:080,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","27,3438"
2026 02 02 10:57:08:082,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","23,4375"
2026 02 02 10:57:08:084,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:086,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118",0
2026 02 02 10:57:08:088,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:090,-3.9675,-6.61375,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:092,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:094,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:096,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:098,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:100,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","23,4375"
2026 02 02 10:57:08:102,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","19,5313"
2026 02 02 10:57:08:104,-3.9334,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:106,-3.9985,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-7,8125"
2026 02 02 10:57:08:108,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:110,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118",0
2026 02 02 10:57:08:112,-3.9334,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:114,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:116,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:118,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:120,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","23,4375"
2026 02 02 10:57:08:122,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","15,625"
2026 02 02 10:57:08:124,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:126,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-11,7187"
2026 02 02 10:57:08:128,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-3,9062"
2026 02 02 10:57:08:130,-3.9985,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118",0
2026 02 02 10:57:08:132,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:134,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:136,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:138,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:140,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","27,3438"
2026 02 02 10:57:08:142,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","11,7188"
2026 02 02 10:57:08:144,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:146,-3.9334,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","-7,8125"
2026 02 02 10:57:08:148,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118",0
2026 02 02 10:57:08:150,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118",0
2026 02 02 10:57:08:152,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:154,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:156,-3.9675,-6.70125,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","7,8125"
2026 02 02 10:57:08:158,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","3,9063"
2026 02 02 10:57:08:160,-3.9675,-6.78875,"0,265",12,2,"9,5673","6,9679","48,9655","5,118","27,3438"
