sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 02 10:57:07:994;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:07:996;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:07:998;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:000;0,283;13;2;10,3302;6,9666;51,4526;4,9808;19,5313;
2026 02 02 10:57:08:002;0,283;13;2;10,3302;6,9666;51,4526;4,9808;15,625;
2026 02 02 10:57:08:004;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:006;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-11,7187;
2026 02 02 10:57:08:008;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-7,8125;
2026 02 02 10:57:08:010;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:012;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:014;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:016;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:018;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:020;0,283;13;2;10,3302;6,9666;51,4526;4,9808;23,4375;
2026 02 02 10:57:08:022;0,283;13;2;10,3302;6,9666;51,4526;4,9808;15,625;
2026 02 02 10:57:08:024;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:026;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-15,625;
2026 02 02 10:57:08:028;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-3,9062;
2026 02 02 10:57:08:030;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:032;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:034;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:036;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:038;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:040;0,283;13;2;10,3302;6,9666;51,4526;4,9808;27,3438;
2026 02 02 10:57:08:042;0,283;13;2;10,3302;6,9666;51,4526;4,9808;15,625;
2026 02 02 10:57:08:044;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:046;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-11,7187;
2026 02 02 10:57:08:048;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-7,8125;
2026 02 02 10:57:08:050;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:052;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:054;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:056;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:058;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:060;0,283;13;2;10,3302;6,9666;51,4526;4,9808;27,3438;
2026 02 02 10:57:08:062;0,283;13;2;10,3302;6,9666;51,4526;4,9808;23,4375;
2026 02 02 10:57:08:064;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:066;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-11,7187;
2026 02 02 10:57:08:068;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-3,9062;
2026 02 02 10:57:08:070;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-3,9062;
2026 02 02 10:57:08:072;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:074;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:076;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:078;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:080;0,283;13;2;10,3302;6,9666;51,4526;4,9808;27,3438;
2026 02 02 10:57:08:082;0,283;13;2;10,3302;6,9666;51,4526;4,9808;23,4375;
2026 02 02 10:57:08:084;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:086;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-3,9062;
2026 02 02 10:57:08:088;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-7,8125;
2026 02 02 10:57:08:090;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-3,9062;
2026 02 02 10:57:08:092;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:094;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:096;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:098;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:100;0,283;13;2;10,3302;6,9666;51,4526;4,9808;23,4375;
2026 02 02 10:57:08:102;0,283;13;2;10,3302;6,9666;51,4526;4,9808;15,625;
2026 02 02 10:57:08:104;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:106;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-11,7187;
2026 02 02 10:57:08:108;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-7,8125;
2026 02 02 10:57:08:110;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:112;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:114;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:116;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:118;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:120;0,283;13;2;10,3302;6,9666;51,4526;4,9808;27,3438;
2026 02 02 10:57:08:122;0,283;13;2;10,3302;6,9666;51,4526;4,9808;11,7188;
2026 02 02 10:57:08:124;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:126;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-15,625;
2026 02 02 10:57:08:128;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-7,8125;
2026 02 02 10:57:08:130;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:132;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:134;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:136;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:138;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:140;0,283;13;2;10,3302;6,9666;51,4526;4,9808;23,4375;
2026 02 02 10:57:08:142;0,283;13;2;10,3302;6,9666;51,4526;4,9808;15,625;
2026 02 02 10:57:08:144;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:146;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-11,7187;
2026 02 02 10:57:08:148;0,283;13;2;10,3302;6,9666;51,4526;4,9808;-7,8125;
2026 02 02 10:57:08:150;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:152;0,283;13;2;10,3302;6,9666;51,4526;4,9808;7,8125;
2026 02 02 10:57:08:154;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:156;0,283;13;2;10,3302;6,9666;51,4526;4,9808;0;
2026 02 02 10:57:08:158;0,283;13;2;10,3302;6,9666;51,4526;4,9808;3,9063;
2026 02 02 10:57:08:160;0,283;13;2;10,3302;6,9666;51,4526;4,9808;23,4375;
2026 02 02 10:57:08:162;0,283;13;2;10,3302;7,3179;56,2897;5,449;15,625;
2026 02 02 10:57:08:164;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:166;0,283;13;2;10,3302;7,3179;56,2897;5,449;-11,7187;
2026 02 02 10:57:08:168;0,283;13;2;10,3302;7,3179;56,2897;5,449;-7,8125;
2026 02 02 10:57:08:170;0,283;13;2;10,3302;7,3179;56,2897;5,449;-3,9062;
2026 02 02 10:57:08:172;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:174;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:176;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:178;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:180;0,283;13;2;10,3302;7,3179;56,2897;5,449;23,4375;
2026 02 02 10:57:08:182;0,283;13;2;10,3302;7,3179;56,2897;5,449;15,625;
2026 02 02 10:57:08:184;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:186;0,283;13;2;10,3302;7,3179;56,2897;5,449;-7,8125;
2026 02 02 10:57:08:188;0,283;13;2;10,3302;7,3179;56,2897;5,449;-7,8125;
2026 02 02 10:57:08:190;0,283;13;2;10,3302;7,3179;56,2897;5,449;-3,9062;
2026 02 02 10:57:08:192;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:194;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:196;0,283;13;2;10,3302;7,3179;56,2897;5,449;0;
2026 02 02 10:57:08:198;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:200;0,283;13;2;10,3302;7,3179;56,2897;5,449;23,4375;
2026 02 02 10:57:08:202;0,283;13;2;10,3302;7,3179;56,2897;5,449;15,625;
2026 02 02 10:57:08:204;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:206;0,283;13;2;10,3302;7,3179;56,2897;5,449;-7,8125;
2026 02 02 10:57:08:208;0,283;13;2;10,3302;7,3179;56,2897;5,449;-3,9062;
2026 02 02 10:57:08:210;0,283;13;2;10,3302;7,3179;56,2897;5,449;-7,8125;
2026 02 02 10:57:08:212;0,283;13;2;10,3302;7,3179;56,2897;5,449;0;
2026 02 02 10:57:08:214;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:216;0,283;13;2;10,3302;7,3179;56,2897;5,449;0;
2026 02 02 10:57:08:218;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:220;0,283;13;2;10,3302;7,3179;56,2897;5,449;27,3438;
2026 02 02 10:57:08:222;0,283;13;2;10,3302;7,3179;56,2897;5,449;11,7188;
2026 02 02 10:57:08:224;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:226;0,283;13;2;10,3302;7,3179;56,2897;5,449;-11,7187;
2026 02 02 10:57:08:228;0,283;13;2;10,3302;7,3179;56,2897;5,449;-11,7187;
2026 02 02 10:57:08:230;0,283;13;2;10,3302;7,3179;56,2897;5,449;0;
2026 02 02 10:57:08:232;0,283;13;2;10,3302;7,3179;56,2897;5,449;0;
2026 02 02 10:57:08:234;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:236;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
2026 02 02 10:57:08:238;0,283;13;2;10,3302;7,3179;56,2897;5,449;3,9063;
