Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 19 09:31:36:041,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:043,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:045,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:047,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:049,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:051,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:053,-3.9985,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:055,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:057,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:059,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:061,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:063,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:065,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:067,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:069,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:071,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:073,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:075,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:077,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:079,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:081,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:083,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:085,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:087,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:089,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:091,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:093,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:095,-3.9985,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:097,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:099,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:101,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:103,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:105,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:107,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:109,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:111,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:113,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:115,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:117,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:119,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:121,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:123,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:125,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:127,-3.9334,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:129,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:131,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:133,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:135,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:137,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:139,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:141,-3.9334,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:143,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:145,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:147,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:149,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:151,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:153,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:155,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:157,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:159,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:161,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:163,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:165,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:167,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:169,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:171,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:173,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:175,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:177,-3.9334,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:179,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:181,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:183,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:185,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:187,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:189,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:191,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:193,-3.9985,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:195,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:197,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:199,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:201,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:203,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:205,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:207,-3.9334,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:209,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:211,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:213,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:215,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:217,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:219,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:221,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:223,-3.9334,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:225,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:227,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:229,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:231,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:233,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:235,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:237,-3.9985,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:239,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:241,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:243,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:245,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:247,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:249,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:251,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:253,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:255,-3.9675,-6.87625,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:257,-3.9985,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:259,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:261,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:263,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:265,-3.9675,-6.78875,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:267,-3.9675,-6.70125,0,0,0,0,-3,0,1,0
2026 02 19 09:31:36:269,-3.9334,-6.78875,0,0,0,0,-3,0,1,0
