sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 19 09:31:36:041;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:043;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:045;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:047;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:049;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:051;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:053;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:055;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:057;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:059;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:061;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:063;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:065;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:067;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:069;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:071;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:073;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:075;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:077;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:079;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:081;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:083;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:085;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:087;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:089;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:091;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:093;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:095;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:097;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:099;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:101;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:103;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:105;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:107;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:109;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:111;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:113;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:115;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:117;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:119;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:121;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:123;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:125;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:127;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:129;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:131;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:133;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:135;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:137;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:139;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:141;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:143;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:145;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:147;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:149;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:151;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:153;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:155;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:157;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:159;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:161;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:163;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:165;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:167;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:169;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:171;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:173;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:175;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:177;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:179;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:181;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:183;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:185;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:187;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:189;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:191;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:193;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:195;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:197;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:199;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:201;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:203;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:205;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:207;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:209;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:211;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:213;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:215;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:217;0;0;0;0;-3;0;1;0;
2026 02 19 09:31:36:219;0;0;0;0;-3;0;1;0;
