Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 03 12 14:05:12:366,-3.9675,-6.70125,"0,26",11,1,"11,54","0,78","39,7","3,44","19,53"
2026 03 12 14:05:12:368,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","11,72"
2026 03 12 14:05:12:370,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44",0
2026 03 12 14:05:12:372,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","-15,62"
2026 03 12 14:05:12:374,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","-3,91"
2026 03 12 14:05:12:376,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:378,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44",0
2026 03 12 14:05:12:380,-3.9334,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:382,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:384,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:386,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","19,53"
2026 03 12 14:05:12:388,-3.9985,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","11,72"
2026 03 12 14:05:12:390,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44",0
2026 03 12 14:05:12:392,-3.9675,-6.70125,"0,26",11,1,"11,54","0,78","39,7","3,44","-15,62"
2026 03 12 14:05:12:394,-3.9985,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","-3,91"
2026 03 12 14:05:12:396,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:398,-3.9985,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44",0
2026 03 12 14:05:12:400,-3.9985,-6.70125,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:402,-3.9675,-6.87625,"0,26",11,1,"11,54","0,78","39,7","3,44",0
2026 03 12 14:05:12:404,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:406,-3.9675,-6.87625,"0,26",11,1,"11,54","0,78","39,7","3,44","19,53"
2026 03 12 14:05:12:408,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","11,72"
2026 03 12 14:05:12:410,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44",0
2026 03 12 14:05:12:412,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","-15,62"
2026 03 12 14:05:12:414,-3.9985,-6.70125,"0,26",11,1,"11,54","0,78","39,7","3,44","-3,91"
2026 03 12 14:05:12:416,-3.9675,-6.70125,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
2026 03 12 14:05:12:418,-3.9675,-6.78875,"0,26",11,1,"11,54","0,78","39,7","3,44","3,91"
