sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 03 12 14:05:12:366;0,29;13;1;12,65;0,76;43,95;3,47;15,63;
2026 03 12 14:05:12:368;0,29;13;1;12,65;0,76;43,95;3,47;7,81;
2026 03 12 14:05:12:370;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:372;0,29;13;1;12,65;0,76;43,95;3,47;-19,53;
2026 03 12 14:05:12:374;0,29;13;1;12,65;0,76;43,95;3,47;-11,72;
2026 03 12 14:05:12:376;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:378;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:380;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:382;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:384;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:386;0,29;13;1;12,65;0,76;43,95;3,47;19,53;
2026 03 12 14:05:12:388;0,29;13;1;12,65;0,76;43,95;3,47;7,81;
2026 03 12 14:05:12:390;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:392;0,29;13;1;12,65;0,76;43,95;3,47;-19,53;
2026 03 12 14:05:12:394;0,29;13;1;12,65;0,76;43,95;3,47;-7,81;
2026 03 12 14:05:12:396;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:398;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:400;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:402;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:404;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:406;0,29;13;1;12,65;0,76;43,95;3,47;15,63;
2026 03 12 14:05:12:408;0,29;13;1;12,65;0,76;43,95;3,47;3,91;
2026 03 12 14:05:12:410;0,29;13;1;12,65;0,76;43,95;3,47;-7,81;
2026 03 12 14:05:12:412;0,29;13;1;12,65;0,76;43,95;3,47;-19,53;
2026 03 12 14:05:12:414;0,29;13;1;12,65;0,76;43,95;3,47;-7,81;
2026 03 12 14:05:12:416;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:418;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:420;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:422;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:424;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:426;0,29;13;1;12,65;0,76;43,95;3,47;19,53;
2026 03 12 14:05:12:428;0,29;13;1;12,65;0,76;43,95;3,47;7,81;
2026 03 12 14:05:12:430;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:432;0,29;13;1;12,65;0,76;43,95;3,47;-19,53;
2026 03 12 14:05:12:434;0,29;13;1;12,65;0,76;43,95;3,47;-7,81;
2026 03 12 14:05:12:436;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:438;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:440;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:442;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:444;0,29;13;1;12,65;0,76;43,95;3,47;0;
2026 03 12 14:05:12:446;0,29;13;1;12,65;0,76;43,95;3,47;15,63;
2026 03 12 14:05:12:448;0,29;13;1;12,65;0,76;43,95;3,47;3,91;
2026 03 12 14:05:12:450;0,29;13;1;12,65;0,76;43,95;3,47;-3,91;
2026 03 12 14:05:12:452;0,29;13;1;12,65;0,76;43,95;3,47;-23,44;
