Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 20 11:40:19:730,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-11,7187"
2026 02 20 11:40:19:732,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-19,5312"
2026 02 20 11:40:19:734,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:736,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:738,-3.9675,-6.87625,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:740,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:742,-3.9985,-6.87625,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","27,3438"
2026 02 20 11:40:19:744,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","15,625"
2026 02 20 11:40:19:746,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:748,-3.9985,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-7,8125"
2026 02 20 11:40:19:750,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-11,7187"
2026 02 20 11:40:19:752,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-23,4375"
2026 02 20 11:40:19:754,-3.9675,-6.87625,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:756,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:758,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:760,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:762,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","27,3438"
2026 02 20 11:40:19:764,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","15,625"
2026 02 20 11:40:19:766,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","7,8125"
2026 02 20 11:40:19:768,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-7,8125"
2026 02 20 11:40:19:770,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-11,7187"
2026 02 20 11:40:19:772,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-19,5312"
2026 02 20 11:40:19:774,-3.9334,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:776,-3.9334,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:778,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:780,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:782,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","27,3438"
2026 02 20 11:40:19:784,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","15,625"
2026 02 20 11:40:19:786,-3.9334,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","7,8125"
2026 02 20 11:40:19:788,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-7,8125"
2026 02 20 11:40:19:790,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-11,7187"
2026 02 20 11:40:19:792,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-19,5312"
2026 02 20 11:40:19:794,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:796,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:798,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:800,-3.9985,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:802,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","27,3438"
2026 02 20 11:40:19:804,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","19,5313"
2026 02 20 11:40:19:806,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","7,8125"
2026 02 20 11:40:19:808,-3.9334,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-7,8125"
2026 02 20 11:40:19:810,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-11,7187"
2026 02 20 11:40:19:812,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-23,4375"
2026 02 20 11:40:19:814,-3.9334,-6.87625,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:816,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:818,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:820,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","3,9063"
2026 02 20 11:40:19:822,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","23,4375"
2026 02 20 11:40:19:824,-3.9985,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","15,625"
2026 02 20 11:40:19:826,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","7,8125"
2026 02 20 11:40:19:828,-3.9675,-6.78875,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-7,8125"
2026 02 20 11:40:19:830,-3.9675,-6.70125,"0,271",10,0,0,-3,"36,087","3,402823466385289e+38","-11,7187"
