sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 20 11:40:19:730;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-15,625;
2026 02 20 11:40:19:732;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-23,4375;
2026 02 20 11:40:19:734;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;0;
2026 02 20 11:40:19:736;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:738;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:740;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:742;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;27,3438;
2026 02 20 11:40:19:744;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;15,625;
2026 02 20 11:40:19:746;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:748;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-11,7187;
2026 02 20 11:40:19:750;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-11,7187;
2026 02 20 11:40:19:752;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-27,3437;
2026 02 20 11:40:19:754;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:756;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:758;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;0;
2026 02 20 11:40:19:760;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:762;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;27,3438;
2026 02 20 11:40:19:764;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;15,625;
2026 02 20 11:40:19:766;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;7,8125;
2026 02 20 11:40:19:768;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-7,8125;
2026 02 20 11:40:19:770;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-11,7187;
2026 02 20 11:40:19:772;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-23,4375;
2026 02 20 11:40:19:774;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:776;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:778;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:780;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:782;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;27,3438;
2026 02 20 11:40:19:784;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;19,5313;
2026 02 20 11:40:19:786;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;7,8125;
2026 02 20 11:40:19:788;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-7,8125;
2026 02 20 11:40:19:790;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-15,625;
2026 02 20 11:40:19:792;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-23,4375;
2026 02 20 11:40:19:794;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:796;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:798;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:800;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:802;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;27,3438;
2026 02 20 11:40:19:804;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;19,5313;
2026 02 20 11:40:19:806;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;7,8125;
2026 02 20 11:40:19:808;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-11,7187;
2026 02 20 11:40:19:810;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-11,7187;
2026 02 20 11:40:19:812;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;-27,3437;
2026 02 20 11:40:19:814;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:816;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:818;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;0;
2026 02 20 11:40:19:820;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;3,9063;
2026 02 20 11:40:19:822;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;23,4375;
2026 02 20 11:40:19:824;0,299;11;0;0;-3;39,7034;3,402823466385289e+38;15,625;
