sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 03 12 10:07:08:902;0,27;12;2;12,62;0,68;46,88;3,71;3,91;
2026 03 12 10:07:08:904;0,27;12;2;12,62;0,68;46,88;3,71;0;
2026 03 12 10:07:08:906;0,27;12;2;12,62;0,68;46,88;3,71;3,91;
2026 03 12 10:07:08:908;0,27;12;2;12,62;0,68;46,88;3,71;3,91;
2026 03 12 10:07:08:910;0,27;12;2;12,62;0,68;46,88;3,71;11,72;
2026 03 12 10:07:08:912;0,27;12;2;12,62;0,68;46,88;3,71;7,81;
2026 03 12 10:07:08:914;0,27;12;2;12,62;0,68;46,88;3,71;0;
2026 03 12 10:07:08:916;0,27;12;2;12,62;0,68;46,88;3,71;-15,62;
2026 03 12 10:07:08:918;0,27;12;2;12,62;0,68;46,88;3,71;-19,53;
2026 03 12 10:07:08:920;0,27;12;2;12,62;0,68;46,88;3,71;7,81;
2026 03 12 10:07:08:922;0,27;12;2;12,62;0,68;46,88;3,71;0;
2026 03 12 10:07:08:924;0,27;12;2;12,62;0,68;46,88;3,71;0;
2026 03 12 10:07:08:926;0,27;12;2;12,62;0,68;46,88;3,71;3,91;
2026 03 12 10:07:08:928;0,27;12;2;12,62;0,68;46,88;3,71;3,91;
2026 03 12 10:07:08:930;0,27;12;2;12,56;0,68;46,86;3,73;15,63;
2026 03 12 10:07:08:932;0,27;12;2;12,56;0,68;46,86;3,73;11,72;
2026 03 12 10:07:08:934;0,27;12;2;12,56;0,68;46,86;3,73;-3,91;
2026 03 12 10:07:08:936;0,27;12;2;12,56;0,68;46,86;3,73;-15,62;
2026 03 12 10:07:08:938;0,27;12;2;12,56;0,68;46,86;3,73;-19,53;
2026 03 12 10:07:08:940;0,27;12;2;12,56;0,68;46,86;3,73;3,91;
2026 03 12 10:07:08:942;0,27;12;2;12,56;0,68;46,86;3,73;3,91;
2026 03 12 10:07:08:944;0,27;12;2;12,56;0,68;46,86;3,73;0;
2026 03 12 10:07:08:946;0,27;12;2;12,56;0,68;46,86;3,73;3,91;
2026 03 12 10:07:08:948;0,27;12;2;12,56;0,68;46,86;3,73;3,91;
2026 03 12 10:07:08:950;0,27;12;2;12,56;0,68;46,86;3,73;15,63;
2026 03 12 10:07:08:952;0,27;12;2;12,56;0,68;46,86;3,73;7,81;
2026 03 12 10:07:08:954;0,27;12;2;12,56;0,68;46,86;3,73;-3,91;
2026 03 12 10:07:08:956;0,27;12;2;12,56;0,68;46,86;3,73;-23,44;
