Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 19 14:53:13:506,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178",0
2026 02 19 14:53:13:508,-3.9334,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:510,-3.9334,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:512,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:514,-3.9675,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:516,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:518,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","35,1563"
2026 02 19 14:53:13:520,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","19,5313"
2026 02 19 14:53:13:522,-3.9675,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:524,-3.9675,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","-15,625"
2026 02 19 14:53:13:526,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178",0
2026 02 19 14:53:13:528,-3.9985,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:530,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:532,-3.9675,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:534,-3.9985,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:536,-3.9675,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:538,-3.9985,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","35,1563"
2026 02 19 14:53:13:540,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","15,625"
2026 02 19 14:53:13:542,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:544,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","-7,8125"
2026 02 19 14:53:13:546,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178",0
2026 02 19 14:53:13:548,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:550,-3.9985,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:552,-3.9985,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:554,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:556,-3.9985,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:558,-3.9675,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","35,1563"
2026 02 19 14:53:13:560,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","15,625"
2026 02 19 14:53:13:562,-3.9675,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:564,-3.9675,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","-15,625"
2026 02 19 14:53:13:566,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178",0
2026 02 19 14:53:13:568,-3.9334,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:570,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:572,-3.9334,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:574,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:576,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:578,-3.9334,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","35,1563"
2026 02 19 14:53:13:580,-3.9334,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","15,625"
2026 02 19 14:53:13:582,-3.9675,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:584,-3.9985,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","-11,7187"
2026 02 19 14:53:13:586,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178",0
2026 02 19 14:53:13:588,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:590,-3.9675,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:592,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:594,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:596,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:598,-3.9334,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","35,1563"
2026 02 19 14:53:13:600,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","15,625"
2026 02 19 14:53:13:602,-3.9675,-6.70125,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:604,-3.9675,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","-11,7187"
2026 02 19 14:53:13:606,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178",0
2026 02 19 14:53:13:608,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:610,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:612,-3.9985,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:614,-3.9985,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:616,-3.9985,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:618,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","35,1563"
2026 02 19 14:53:13:620,-3.9334,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","15,625"
2026 02 19 14:53:13:622,-3.9675,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","3,9063"
2026 02 19 14:53:13:624,-3.9675,-6.78875,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178","-11,7187"
2026 02 19 14:53:13:626,-3.9675,-6.87625,"0,278",12,1,"11,9781","0,9912","40,9393","3,4178",0
