sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 19 14:53:13:506;0,31;13;1;13,3667;0,9644;47,3328;3,5411;-3,9062;
2026 02 19 14:53:13:508;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:510;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:512;0,31;13;1;13,3667;0,9644;47,3328;3,5411;0;
2026 02 19 14:53:13:514;0,31;13;1;13,3667;0,9644;47,3328;3,5411;7,8125;
2026 02 19 14:53:13:516;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:518;0,31;13;1;13,3667;0,9644;47,3328;3,5411;39,0625;
2026 02 19 14:53:13:520;0,31;13;1;13,3667;0,9644;47,3328;3,5411;19,5313;
2026 02 19 14:53:13:522;0,31;13;1;13,3667;0,9644;47,3328;3,5411;0;
2026 02 19 14:53:13:524;0,31;13;1;13,3667;0,9644;47,3328;3,5411;-15,625;
2026 02 19 14:53:13:526;0,31;13;1;13,3667;0,9644;47,3328;3,5411;0;
2026 02 19 14:53:13:528;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:530;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:532;0,31;13;1;13,3667;0,9644;47,3328;3,5411;7,8125;
2026 02 19 14:53:13:534;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:536;0,31;13;1;13,3667;0,9644;47,3328;3,5411;7,8125;
2026 02 19 14:53:13:538;0,31;13;1;13,3667;0,9644;47,3328;3,5411;39,0625;
2026 02 19 14:53:13:540;0,31;13;1;13,3667;0,9644;47,3328;3,5411;15,625;
2026 02 19 14:53:13:542;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:544;0,31;13;1;13,3667;0,9644;47,3328;3,5411;-7,8125;
2026 02 19 14:53:13:546;0,31;13;1;13,3667;0,9644;47,3328;3,5411;0;
2026 02 19 14:53:13:548;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:550;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:552;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:554;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:556;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:558;0,31;13;1;13,3667;0,9644;47,3328;3,5411;39,0625;
2026 02 19 14:53:13:560;0,31;13;1;13,3667;0,9644;47,3328;3,5411;15,625;
2026 02 19 14:53:13:562;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:564;0,31;13;1;13,3667;0,9644;47,3328;3,5411;-19,5312;
2026 02 19 14:53:13:566;0,31;13;1;13,3667;0,9644;47,3328;3,5411;0;
2026 02 19 14:53:13:568;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:570;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:572;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
2026 02 19 14:53:13:574;0,31;13;1;13,3667;0,9644;47,3328;3,5411;7,8125;
2026 02 19 14:53:13:576;0,31;13;1;13,3667;0,9644;47,3328;3,5411;3,9063;
