sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 03 08:01:17:674;0,315;16;4;15,6555;3,5627;78,6743;5,0253;7,8125;
2026 02 03 08:01:17:676;0,315;16;4;15,6555;3,5627;78,6743;5,0253;7,8125;
2026 02 03 08:01:17:678;0,315;16;4;15,6555;3,5627;78,6743;5,0253;3,9063;
2026 02 03 08:01:17:680;0,315;16;4;15,6555;3,5627;78,6743;5,0253;39,0625;
2026 02 03 08:01:17:682;0,315;16;4;15,6555;3,5627;78,6743;5,0253;35,1563;
2026 02 03 08:01:17:684;0,315;16;4;15,6555;3,5627;78,6743;5,0253;15,625;
2026 02 03 08:01:17:686;0,315;16;4;15,6555;3,5627;78,6743;5,0253;-11,7187;
2026 02 03 08:01:17:688;0,315;16;4;15,6555;3,5627;78,6743;5,0253;-11,7187;
2026 02 03 08:01:17:690;0,315;16;4;15,6555;3,5627;78,6743;5,0253;-46,875;
2026 02 03 08:01:17:692;0,315;16;4;15,6555;3,5627;78,6743;5,0253;3,9063;
2026 02 03 08:01:17:694;0,315;16;4;15,6555;3,5627;78,6743;5,0253;7,8125;
2026 02 03 08:01:17:696;0,315;16;4;15,6555;3,5627;78,6743;5,0253;7,8125;
2026 02 03 08:01:17:698;0,315;16;4;15,6555;3,5627;78,6743;5,0253;3,9063;
2026 02 03 08:01:17:700;0,315;16;4;15,6555;3,5627;78,6743;5,0253;58,5938;
2026 02 03 08:01:17:702;0,315;16;4;15,6555;3,5627;78,6743;5,0253;23,4375;
2026 02 03 08:01:17:704;0,315;16;4;15,6555;3,5627;78,6743;5,0253;11,7188;
2026 02 03 08:01:17:706;0,315;16;4;15,6555;3,5627;78,6743;5,0253;-11,7187;
2026 02 03 08:01:17:708;0,315;16;4;15,6555;3,5627;78,6743;5,0253;-11,7187;
2026 02 03 08:01:17:710;0,315;16;4;15,6555;3,5627;78,6743;5,0253;-58,5937;
