sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 03 12 13:04:51:569;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:571;0,3;15;6;15,15;3,6;75,76;5;11,72;
2026 03 12 13:04:51:573;0,3;15;6;15,15;3,6;75,76;5;11,72;
2026 03 12 13:04:51:575;0,3;15;6;15,15;3,6;75,76;5;-3,91;
2026 03 12 13:04:51:577;0,3;15;6;15,15;3,6;75,76;5;-19,53;
2026 03 12 13:04:51:579;0,3;15;6;15,15;3,6;75,76;5;-15,62;
2026 03 12 13:04:51:581;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:583;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:585;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:587;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:589;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:591;0,3;15;6;15,15;3,6;75,76;5;11,72;
2026 03 12 13:04:51:593;0,3;15;6;15,15;3,6;75,76;5;11,72;
2026 03 12 13:04:51:595;0,3;15;6;15,15;3,6;75,76;5;-3,91;
2026 03 12 13:04:51:597;0,3;15;6;15,15;3,6;75,76;5;-19,53;
2026 03 12 13:04:51:599;0,3;15;6;15,15;3,6;75,76;5;-15,62;
2026 03 12 13:04:51:601;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:603;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:605;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:607;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:609;0,3;15;6;15,15;3,6;75,76;5;-7,81;
2026 03 12 13:04:51:611;0,3;15;6;15,15;3,6;75,76;5;15,63;
2026 03 12 13:04:51:613;0,3;15;6;15,15;3,6;75,76;5;15,63;
