sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 03 12 09:08:27:763;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-27,34;
2026 03 12 09:08:27:765;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-27,34;
2026 03 12 09:08:27:767;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:769;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:771;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-11,72;
2026 03 12 09:08:27:773;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:775;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:777;0,28;11;2;0;-3;52,69;3,402823466385289e+38;11,72;
2026 03 12 09:08:27:779;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-3,91;
2026 03 12 09:08:27:781;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-3,91;
2026 03 12 09:08:27:783;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-35,16;
2026 03 12 09:08:27:785;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-19,53;
2026 03 12 09:08:27:787;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-11,72;
2026 03 12 09:08:27:789;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:791;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-11,72;
2026 03 12 09:08:27:793;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:795;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-11,72;
2026 03 12 09:08:27:797;0,28;11;2;0;-3;52,69;3,402823466385289e+38;15,63;
2026 03 12 09:08:27:799;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:801;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-3,91;
2026 03 12 09:08:27:803;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-27,34;
2026 03 12 09:08:27:805;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-23,44;
2026 03 12 09:08:27:807;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:809;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-11,72;
2026 03 12 09:08:27:811;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-11,72;
2026 03 12 09:08:27:813;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
2026 03 12 09:08:27:815;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-3,91;
2026 03 12 09:08:27:817;0,28;11;2;0;-3;52,69;3,402823466385289e+38;11,72;
2026 03 12 09:08:27:819;0,28;11;2;0;-3;52,69;3,402823466385289e+38;-7,81;
