sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 02 14:17:06:963;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;0;
2026 02 02 14:17:06:965;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;3,9063;
2026 02 02 14:17:06:967;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;7,8125;
2026 02 02 14:17:06:969;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;19,5313;
2026 02 02 14:17:06:971;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;11,7188;
2026 02 02 14:17:06:973;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;-3,9062;
2026 02 02 14:17:06:975;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;-15,625;
2026 02 02 14:17:06:977;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;-23,4375;
2026 02 02 14:17:06:979;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;0;
2026 02 02 14:17:06:981;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;0;
2026 02 02 14:17:06:983;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;0;
2026 02 02 14:17:06:985;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;3,9063;
2026 02 02 14:17:06:987;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;7,8125;
2026 02 02 14:17:06:989;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;19,5313;
2026 02 02 14:17:06:991;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;11,7188;
2026 02 02 14:17:06:993;0,274;10;0;0;-3;44,3878;3,402823466385289e+38;-3,9062;
2026 02 02 14:17:06:995;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-15,625;
2026 02 02 14:17:06:997;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-15,625;
2026 02 02 14:17:06:999;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:001;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:003;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;3,9063;
2026 02 02 14:17:07:005;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;3,9063;
2026 02 02 14:17:07:007;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;11,7188;
2026 02 02 14:17:07:009;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;19,5313;
2026 02 02 14:17:07:011;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;11,7188;
2026 02 02 14:17:07:013;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-3,9062;
2026 02 02 14:17:07:015;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-19,5312;
2026 02 02 14:17:07:017;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-19,5312;
2026 02 02 14:17:07:019;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:021;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:023;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;3,9063;
2026 02 02 14:17:07:025;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;3,9063;
2026 02 02 14:17:07:027;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;7,8125;
2026 02 02 14:17:07:029;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;23,4375;
2026 02 02 14:17:07:031;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;11,7188;
2026 02 02 14:17:07:033;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-7,8125;
2026 02 02 14:17:07:035;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-15,625;
2026 02 02 14:17:07:037;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-23,4375;
2026 02 02 14:17:07:039;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:041;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;3,9063;
2026 02 02 14:17:07:043;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:045;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:047;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;7,8125;
2026 02 02 14:17:07:049;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;19,5313;
2026 02 02 14:17:07:051;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;11,7188;
2026 02 02 14:17:07:053;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-7,8125;
2026 02 02 14:17:07:055;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-15,625;
2026 02 02 14:17:07:057;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-27,3437;
2026 02 02 14:17:07:059;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:061;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:063;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:065;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;0;
2026 02 02 14:17:07:067;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;11,7188;
2026 02 02 14:17:07:069;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;23,4375;
2026 02 02 14:17:07:071;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;11,7188;
2026 02 02 14:17:07:073;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-7,8125;
2026 02 02 14:17:07:075;0,274;10;0;0;-3;44,2505;3,402823466385289e+38;-19,5312;
