Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 02 14:17:06:963,-3.9985,-6.87625,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","3,9063"
2026 02 02 14:17:06:965,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","3,9063"
2026 02 02 14:17:06:967,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","11,7188"
2026 02 02 14:17:06:969,-3.9334,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","23,4375"
2026 02 02 14:17:06:971,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","15,625"
2026 02 02 14:17:06:973,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","-3,9062"
2026 02 02 14:17:06:975,-3.9675,-6.87625,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","-15,625"
2026 02 02 14:17:06:977,-3.9334,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","-23,4375"
2026 02 02 14:17:06:979,-3.9675,-6.87625,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","3,9063"
2026 02 02 14:17:06:981,-3.9675,-6.87625,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","3,9063"
2026 02 02 14:17:06:983,-3.9334,-6.87625,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","3,9063"
2026 02 02 14:17:06:985,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","3,9063"
2026 02 02 14:17:06:987,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","11,7188"
2026 02 02 14:17:06:989,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","23,4375"
2026 02 02 14:17:06:991,-3.9675,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","11,7188"
2026 02 02 14:17:06:993,-3.9985,-6.78875,"0,277",10,0,0,-3,"44,9524","3,402823466385289e+38","-3,9062"
