sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 19 14:08:20:697;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;7,8125;
2026 02 19 14:08:20:699;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-7,8125;
2026 02 19 14:08:20:701;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-15,625;
2026 02 19 14:08:20:703;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-7,8125;
2026 02 19 14:08:20:705;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;-3,9062;
2026 02 19 14:08:20:707;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;3,9063;
2026 02 19 14:08:20:709;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:711;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:713;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;0;
2026 02 19 14:08:20:715;0,2639;12;1;11,5509;0,9184;38,1012;3,2985;15,625;
2026 02 19 14:08:20:717;0,265;12;1;11,5814;0,9057;38,1165;3,2912;7,8125;
2026 02 19 14:08:20:719;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:721;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:723;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-19,5312;
2026 02 19 14:08:20:725;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:727;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:729;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:731;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:733;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:735;0,265;12;1;11,5814;0,9057;38,1165;3,2912;19,5313;
2026 02 19 14:08:20:737;0,265;12;1;11,5814;0,9057;38,1165;3,2912;7,8125;
2026 02 19 14:08:20:739;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-3,9062;
2026 02 19 14:08:20:741;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-11,7187;
2026 02 19 14:08:20:743;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-11,7187;
2026 02 19 14:08:20:745;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:747;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:749;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:751;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:753;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:755;0,265;12;1;11,5814;0,9057;38,1165;3,2912;19,5313;
