sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 19 13:03:13:107;0,278;12;2;12,4512;0,6487;47,3785;3,8051;-3,9062;
2026 02 19 13:03:13:109;0,278;12;2;12,4512;0,6487;47,3785;3,8051;3,9063;
2026 02 19 13:03:13:111;0,278;12;2;12,4512;0,6487;47,3785;3,8051;0;
2026 02 19 13:03:13:113;0,278;12;2;12,4512;0,6487;47,3785;3,8051;19,5313;
2026 02 19 13:03:13:115;0,278;12;2;12,4512;0,6487;47,3785;3,8051;11,7188;
2026 02 19 13:03:13:117;0,278;12;2;12,4512;0,6487;47,3785;3,8051;7,8125;
2026 02 19 13:03:13:119;0,278;12;2;12,4512;0,6487;47,3785;3,8051;-11,7187;
2026 02 19 13:03:13:121;0,278;12;2;12,4512;0,6487;47,3785;3,8051;-19,5312;
2026 02 19 13:03:13:123;0,278;12;2;12,4512;0,6487;47,3785;3,8051;-31,25;
2026 02 19 13:03:13:125;0,278;12;2;12,4512;0,6487;47,3785;3,8051;0;
2026 02 19 13:03:13:127;0,278;12;2;12,4512;0,6487;47,3785;3,8051;3,9063;
2026 02 19 13:03:13:129;0,278;12;2;12,4512;0,6487;47,3785;3,8051;-3,9062;
2026 02 19 13:03:13:131;0,278;12;2;12,4512;0,6487;47,3785;3,8051;0;
2026 02 19 13:03:13:133;0,278;12;2;12,4512;0,6487;47,3785;3,8051;23,4375;
2026 02 19 13:03:13:135;0,278;12;2;12,4512;0,6487;47,3785;3,8051;15,625;
2026 02 19 13:03:13:137;0,278;12;2;12,4207;0,5901;46,7377;3,7629;7,8125;
2026 02 19 13:03:13:139;0,278;12;2;12,4207;0,5901;46,7377;3,7629;-7,8125;
2026 02 19 13:03:13:141;0,278;12;2;12,4207;0,5901;46,7377;3,7629;-23,4375;
2026 02 19 13:03:13:143;0,278;12;2;12,4207;0,5901;46,7377;3,7629;-27,3437;
2026 02 19 13:03:13:145;0,278;12;2;12,4207;0,5901;46,7377;3,7629;-3,9062;
2026 02 19 13:03:13:147;0,278;12;2;12,4207;0,5901;46,7377;3,7629;3,9063;
2026 02 19 13:03:13:149;0,278;12;2;12,4207;0,5901;46,7377;3,7629;0;
2026 02 19 13:03:13:151;0,278;12;2;12,4207;0,5901;46,7377;3,7629;0;
2026 02 19 13:03:13:153;0,278;12;2;12,4207;0,5901;46,7377;3,7629;19,5313;
2026 02 19 13:03:13:155;0,278;12;2;12,4207;0,5901;46,7377;3,7629;15,625;
2026 02 19 13:03:13:157;0,278;12;2;12,4207;0,5901;46,7377;3,7629;3,9063;
