Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 19 13:03:13:107,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","3,9063"
2026 02 19 13:03:13:109,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","3,9063"
2026 02 19 13:03:13:111,-3.9334,-6.87625,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","7,8125"
2026 02 19 13:03:13:113,-3.9334,-6.87625,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","23,4375"
2026 02 19 13:03:13:115,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","19,5313"
2026 02 19 13:03:13:117,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","11,7188"
2026 02 19 13:03:13:119,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","-3,9062"
2026 02 19 13:03:13:121,-3.9675,-6.87625,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","-15,625"
2026 02 19 13:03:13:123,-3.9675,-6.87625,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","-23,4375"
2026 02 19 13:03:13:125,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","3,9063"
2026 02 19 13:03:13:127,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","3,9063"
2026 02 19 13:03:13:129,-3.9334,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","3,9063"
2026 02 19 13:03:13:131,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","7,8125"
2026 02 19 13:03:13:133,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","23,4375"
2026 02 19 13:03:13:135,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6677","43,1671","3,7371","15,625"
2026 02 19 13:03:13:137,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","11,7188"
2026 02 19 13:03:13:139,-3.9985,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","-3,9062"
2026 02 19 13:03:13:141,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","-15,625"
2026 02 19 13:03:13:143,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","-23,4375"
2026 02 19 13:03:13:145,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","3,9063"
2026 02 19 13:03:13:147,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","3,9063"
2026 02 19 13:03:13:149,-3.9675,-6.87625,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","3,9063"
2026 02 19 13:03:13:151,-3.9985,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","3,9063"
2026 02 19 13:03:13:153,-3.9675,-6.78875,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","23,4375"
2026 02 19 13:03:13:155,-3.9675,-6.87625,"0,262",11,2,"11,5509","0,6514","42,9993","3,7226","19,5313"
