sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 02 09:39:30:103;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:105;0,281;13;2;11,7188;1,8941;45,8984;3,9167;7,8125;
2026 02 02 09:39:30:107;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:109;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:111;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:113;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-11,7187;
2026 02 02 09:39:30:115;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-7,8125;
2026 02 02 09:39:30:117;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:119;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:121;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:123;0,281;13;2;11,7188;1,8941;45,8984;3,9167;7,8125;
2026 02 02 09:39:30:125;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-3,9062;
2026 02 02 09:39:30:127;0,281;13;2;11,7188;1,8941;45,8984;3,9167;27,3438;
2026 02 02 09:39:30:129;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:131;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:133;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-11,7187;
2026 02 02 09:39:30:135;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-3,9062;
2026 02 02 09:39:30:137;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:139;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:141;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:143;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:145;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:147;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:149;0,281;13;2;11,7188;1,8941;45,8984;3,9167;19,5313;
2026 02 02 09:39:30:151;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:153;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-7,8125;
2026 02 02 09:39:30:155;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-3,9062;
2026 02 02 09:39:30:157;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:159;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:161;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:163;0,281;13;2;11,7188;1,8941;45,8984;3,9167;7,8125;
2026 02 02 09:39:30:165;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:167;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:169;0,281;13;2;11,7188;1,8941;45,8984;3,9167;19,5313;
2026 02 02 09:39:30:171;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:173;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-11,7187;
2026 02 02 09:39:30:175;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:177;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:179;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:181;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:183;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:185;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:187;0,281;13;2;11,7188;1,8941;45,8984;3,9167;27,3438;
2026 02 02 09:39:30:189;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:191;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:193;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-11,7187;
2026 02 02 09:39:30:195;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-3,9062;
2026 02 02 09:39:30:197;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:199;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:201;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:203;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:205;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:207;0,281;13;2;11,7188;1,8941;45,8984;3,9167;27,3438;
2026 02 02 09:39:30:209;0,281;13;2;11,7188;1,8941;45,8984;3,9167;19,5313;
2026 02 02 09:39:30:211;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:213;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-7,8125;
2026 02 02 09:39:30:215;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-3,9062;
2026 02 02 09:39:30:217;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:219;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:221;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:223;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:225;0,281;13;2;11,7188;1,8941;45,8984;3,9167;7,8125;
2026 02 02 09:39:30:227;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:229;0,281;13;2;11,7188;1,8941;45,8984;3,9167;23,4375;
2026 02 02 09:39:30:231;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:233;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-7,8125;
2026 02 02 09:39:30:235;0,281;13;2;11,7188;1,8941;45,8984;3,9167;-3,9062;
2026 02 02 09:39:30:237;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:239;0,281;13;2;11,7188;1,8941;45,8984;3,9167;3,9063;
2026 02 02 09:39:30:241;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
2026 02 02 09:39:30:243;0,281;13;2;11,7188;1,8941;45,8984;3,9167;0;
