Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 02 03 09:23:18:292,-3.9675,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","3,9063"
2026 02 03 09:23:18:294,-3.9334,-6.87625,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","7,8125"
2026 02 03 09:23:18:296,-3.9675,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","3,9063"
2026 02 03 09:23:18:298,-3.9675,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","27,3438"
2026 02 03 09:23:18:300,-3.9675,-6.70125,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","15,625"
2026 02 03 09:23:18:302,-3.9675,-6.87625,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","7,8125"
2026 02 03 09:23:18:304,-3.9675,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","-3,9062"
2026 02 03 09:23:18:306,-3.9985,-6.87625,"0,266",12,2,"11,673","1,5536","51,4679","4,4092",0
2026 02 03 09:23:18:308,-3.9675,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092",0
2026 02 03 09:23:18:310,-3.9675,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","7,8125"
2026 02 03 09:23:18:312,-3.9334,-6.87625,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","3,9063"
2026 02 03 09:23:18:314,-3.9334,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","7,8125"
2026 02 03 09:23:18:316,-3.9334,-6.87625,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","3,9063"
2026 02 03 09:23:18:318,-3.9985,-6.78875,"0,266",12,2,"11,673","1,5536","51,4679","4,4092","27,3438"
2026 02 03 09:23:18:320,-3.9675,-6.78875,"0,266",12,2,"11,6577","1,5098","51,4221","4,411","15,625"
2026 02 03 09:23:18:322,-3.9675,-6.78875,"0,266",12,2,"11,6577","1,5098","51,4221","4,411","7,8125"
2026 02 03 09:23:18:324,-3.9985,-6.87625,"0,266",12,2,"11,6577","1,5098","51,4221","4,411","-3,9062"
2026 02 03 09:23:18:326,-3.9985,-6.78875,"0,266",12,2,"11,6577","1,5098","51,4221","4,411","-3,9062"
2026 02 03 09:23:18:328,-3.9675,-6.78875,"0,266",12,2,"11,6577","1,5098","51,4221","4,411",0
