sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 03 09:23:18:292;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:294;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:296;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:298;0,295;13;2;12,8632;1,4799;57,9376;4,5042;23,4375;
2026 02 03 09:23:18:300;0,295;13;2;12,8632;1,4799;57,9376;4,5042;11,7188;
2026 02 03 09:23:18:302;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:304;0,295;13;2;12,8632;1,4799;57,9376;4,5042;-11,7187;
2026 02 03 09:23:18:306;0,295;13;2;12,8632;1,4799;57,9376;4,5042;-7,8125;
2026 02 03 09:23:18:308;0,295;13;2;12,8632;1,4799;57,9376;4,5042;-7,8125;
2026 02 03 09:23:18:310;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:312;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:314;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:316;0,295;13;2;12,8632;1,4799;57,9376;4,5042;0;
2026 02 03 09:23:18:318;0,295;13;2;12,8632;1,4799;57,9376;4,5042;23,4375;
2026 02 03 09:23:18:320;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;7,8125;
2026 02 03 09:23:18:322;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;3,9063;
2026 02 03 09:23:18:324;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;-11,7187;
2026 02 03 09:23:18:326;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;-7,8125;
2026 02 03 09:23:18:328;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;-7,8125;
2026 02 03 09:23:18:330;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;0;
2026 02 03 09:23:18:332;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;0;
2026 02 03 09:23:18:334;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;0;
2026 02 03 09:23:18:336;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;0;
2026 02 03 09:23:18:338;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;27,3438;
2026 02 03 09:23:18:340;0,2939;13;2;12,8174;1,4481;57,8766;4,5155;19,5313;
