Timestamp,Distance of optic sensor 0 [mm],Distance of optic sensor 1 [mm],RMS velocity spectrum ISO 10816 X [mm/s],RMS acceleration X [mg],RMS acceleration envelope X [mg],RMS raw data with frequency brands X [mg],Kurtosis method X [[1]],Peak to peak X [mg],Crest factor X [[1]],Analog raw input X [mg]
2026 03 12 12:13:14:896,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","15,63"
2026 03 12 12:13:14:898,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","19,53"
2026 03 12 12:13:14:900,-3.9985,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","11,72"
2026 03 12 12:13:14:902,-3.9985,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29",0
2026 03 12 12:13:14:904,-3.9675,-6.70125,"0,26",11,1,"11,28","0,58","37,06","3,29","-11,72"
2026 03 12 12:13:14:906,-3.9334,-6.87625,"0,26",11,1,"11,28","0,58","37,06","3,29","-19,53"
2026 03 12 12:13:14:908,-3.9334,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","7,81"
2026 03 12 12:13:14:910,-3.9334,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","7,81"
2026 03 12 12:13:14:912,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","7,81"
2026 03 12 12:13:14:914,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","7,81"
2026 03 12 12:13:14:916,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","15,63"
2026 03 12 12:13:14:918,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","23,44"
2026 03 12 12:13:14:920,-3.9334,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","11,72"
2026 03 12 12:13:14:922,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29",0
2026 03 12 12:13:14:924,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","-11,72"
2026 03 12 12:13:14:926,-3.9985,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","-19,53"
2026 03 12 12:13:14:928,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","7,81"
2026 03 12 12:13:14:930,-3.9675,-6.70125,"0,26",11,1,"11,28","0,58","37,06","3,29","3,91"
2026 03 12 12:13:14:932,-3.9675,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","7,81"
2026 03 12 12:13:14:934,-3.9334,-6.78875,"0,26",11,1,"11,28","0,58","37,06","3,29","7,81"
2026 03 12 12:13:14:936,-3.9985,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:14:938,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","23,44"
2026 03 12 12:13:14:940,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:14:942,-3.9675,-6.87625,"0,26",11,1,"11,31","0,59","37,35","3,3",0
2026 03 12 12:13:14:944,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","-11,72"
2026 03 12 12:13:14:946,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-19,53"
2026 03 12 12:13:14:948,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:950,-3.9334,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:952,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:954,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","3,91"
2026 03 12 12:13:14:956,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:14:958,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","23,44"
2026 03 12 12:13:14:960,-3.9985,-6.87625,"0,26",11,1,"11,31","0,59","37,35","3,3","11,72"
2026 03 12 12:13:14:962,-3.9334,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3",0
2026 03 12 12:13:14:964,-3.9985,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-11,72"
2026 03 12 12:13:14:966,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-19,53"
2026 03 12 12:13:14:968,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:970,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","3,91"
2026 03 12 12:13:14:972,-3.9334,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:974,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:976,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:14:978,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","23,44"
2026 03 12 12:13:14:980,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:14:982,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3",0
2026 03 12 12:13:14:984,-3.9985,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","-15,62"
2026 03 12 12:13:14:986,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-15,62"
2026 03 12 12:13:14:988,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","3,91"
2026 03 12 12:13:14:990,-3.9985,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:992,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:14:994,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","3,91"
2026 03 12 12:13:14:996,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:14:998,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","23,44"
2026 03 12 12:13:15:000,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:15:002,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3",0
2026 03 12 12:13:15:004,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-11,72"
2026 03 12 12:13:15:006,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-19,53"
2026 03 12 12:13:15:008,-3.9675,-6.87625,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:15:010,-3.9985,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:15:012,-3.9334,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:15:014,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
2026 03 12 12:13:15:016,-3.9985,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:15:018,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","23,44"
2026 03 12 12:13:15:020,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","15,63"
2026 03 12 12:13:15:022,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-3,91"
2026 03 12 12:13:15:024,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","-15,62"
2026 03 12 12:13:15:026,-3.9675,-6.70125,"0,26",11,1,"11,31","0,59","37,35","3,3","-19,53"
2026 03 12 12:13:15:028,-3.9675,-6.78875,"0,26",11,1,"11,31","0,59","37,35","3,3","7,81"
